restaurant_name,location,cuisine,cost_for_two,rating
Kidambi's Kitchen,Banashankari,South Indian,,
Mane Thindi,Banashankari,South Indian,,
Kotian Karavali Restaurant,Banashankari,"South Indian, Biryani",,
Floured-Baked With Love,Banashankari,Bakery,,
Cakes & Slices,Banashankari,"Bakery, Desserts",,
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",,
Coffee Shopee,Banashankari,Beverages,,
Naveen Kabab & Biriyani Mane,Banashankari,Biryani,,
Katriguppe Donne Biryani,Banashankari,North Indian,,
Hari Super Sandwich,Banashankari,"Sandwich, Pizza, Beverages",,
Atithi Point Ande Ka Funda,Banashankari,North Indian,,
Just Bake,Banashankari,"Bakery, Desserts",,
Dharwad Line Bazaar Mishra Pedha,Banashankari,Mithai,,
Cake Bite,Banashankari,Bakery,,
Aarush's Food Plaza,Banashankari,"North Indian, Street Food",,
Wood Stove,Banashankari,South Indian,,
Kulfi & More,Banashankari,"Ice Cream, Desserts, Juices",,
Kannadigas Karavali,Banashankari,"Mangalorean, South Indian, North Indian",,
K27 - The Pub,Banashankari,"Chinese, North Indian",,
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",,
New Mangalore Lunch Home,Banashankari,"Mangalorean, South Indian, North Indian",,
Coffee Bytes,Banashankari,"Fast Food, South Indian",,
Parjanya Chat Zone,Banashankari,"Street Food, Fast Food",,
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",,
Soms Kitchen & Bakes,Banashankari,"South Indian, North Indian, Continental",,
Banashankari Nati Style,Banashankari,"Biryani, Chinese, South Indian, North Indian",,
Ruchi Maayaka,Banashankari,South Indian,,
Mohitesh Hut Roll,Banashankari,"Rolls, North Indian",,
Sri Basaveshwar Jolada Rotti Oota,Banashankari,South Indian,,
Roll Magic Fast Food,Banashankari,"Biryani, Rolls, Chinese",,
Foodlieious Multi Cuisine,Banashankari,North Indian,,
Thanishka Nati And Karavali Style,Banashankari,"Biryani, Fast Food",,
Swathi Cool Point,Banashankari,"Beverages, Juices",,
Kaumudis Juoice,Banashankari,"Beverages, Fast Food, Juices",,
Amma - Manae,Banashankari,South Indian,,
Sri Sai Tiffannies,Banashankari,"South Indian, Chinese",,
Hotel Andhra Speices,Banashankari,Andhra,,
Sri Murari Family Restaurant,Banashankari,Biryani,,
Aramane Donne Biriyani,Banashankari,"South Indian, Biryani",,
Darkolates,Banashankari,Desserts,,
Swaada Healthy Kitchen,Banashankari,"Healthy Food, Juices, Sandwich",,
Gawdaru Mane Beriyani,Banashankari,"South Indian, Biryani",,
Melting Melodies,Banashankari,"Pizza, Fast Food",,
New Indraprasta,Banashankari,"South Indian, Beverages",,
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",,
Darbar,Banashankari,"North Indian, Chinese",,
Vijayalakshmi,Basavanagudi,South Indian,,
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",,
Udupi Upahar,Banashankari,"South Indian, Chinese, North Indian, Juices",,
House Of Kebabs,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",,
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",,
BOX8- Desi Meals,Banashankari,"North Indian, Mughlai, Fast Food",,
KFC,Banashankari,"Burger, Fast Food",,
Bitez,Banashankari,Fast Food,,
Roll Over,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",,
Imperial Restaurant,Mysore Road,"North Indian, Chinese, Biryani, Beverages",,
Lassi Shop,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",,
The Fortuna,Kumaraswamy Layout,"North Indian, Chinese",,
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",,
Al Diwan Biryanis And More,Basavanagudi,Biryani,,
New Gowda's Fried Chicken,Banashankari,Biryani,,
Canton,Jayanagar,"Chinese, Seafood, Biryani",,
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",,
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",,
HOT COFFEE,Basavanagudi,"South Indian, Chinese",,
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",,
Lassi Corner,Basavanagudi,"Beverages, Ice Cream",,
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",,
Kanti Sweets,Banashankari,"Mithai, Street Food",,
Vegetalia,Banashankari,"Italian, Pizza",,
Aramane Donne Biryani,Banashankari,Biryani,,
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",,
Cake Ghar,Basavanagudi,Bakery,,
Energy Addaa,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",,
Bhattara Bhojana,Banashankari,South Indian,,
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",,
Dev Sagar - Food Street,Basavanagudi,Street Food,,
Mitraa Da Pizza,Kumaraswamy Layout,"Fast Food, Pizza",,
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",,
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",,
Shakes Theory,Jayanagar,"Beverages, Sandwich",,
@Italy,Kumaraswamy Layout,Italian,,
Chilli Flakes,Banashankari,"Fast Food, Italian, Beverages",,
Calcutta Cafe,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",,
Old Mumbai Ice Cream,Banashankari,Ice Cream,,
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",,
By 2 Coffee,Basavanagudi,South Indian,,
Kedia's Fun Food,Jayanagar,"North Indian, Street Food, Juices",,
Davangere Butter Dosa Hotel,Kumaraswamy Layout,South Indian,,
Just Shawarma,Kumaraswamy Layout,Arabian,,
Mini Punjabi Dhaba,Banashankari,North Indian,,
Mulabagilu Dosa,Basavanagudi,South Indian,,
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",,
Olive - Era,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",,
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",,
Madhappa Hindu Military Hotel,Banashankari,South Indian,,
Gama Gama,Banashankari,South Indian,,
Pizza Hut,Banashankari,"Pizza, Fast Food",,
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",,
Asha Sweets Centre,Basavanagudi,Fast Food,,
Twiststick House,Basavanagudi,"Continental, Fast Food, Street Food, Momos",,
Cool Corner,Basavanagudi,"Street Food, Fast Food",,
Pizza Mane,Banashankari,"Pizza, Sandwich, Burger, Fast Food",,
Dal Tadkaa,Banashankari,North Indian,,
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",,
Mystique Palate,Jayanagar,"Chinese, Fast Food",,
Thamboola,Banashankari,"North Indian, Chinese, Continental",,
Castle Rock,Uttarahalli,"North Indian, Chinese",,
Vietnamese Kitchen,Banashankari,Vietnamese,,
C Corner,Kumaraswamy Layout,"Fast Food, Street Food",,
Paratha Merchant,Kumaraswamy Layout,North Indian,,
North Rasoe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",,
Inchara Restaurant,Basavanagudi,"North Indian, Chinese",,
Toscano,Jayanagar,"Italian, Salad",,
Lord Of The Kitchen,Kumaraswamy Layout,"North Indian, Chinese",,
Stoned Monkey,Banashankari,"Desserts, Ice Cream",,
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",,
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",,
Vennela Andhra Meals,Jayanagar,Andhra,,
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",,
The Grillo,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",,
Re Malnad Nati Style Hotel,JP Nagar,South Indian,,
Karma Kaapi,Jayanagar,"Beverages, Tea",,
Tiwari's,Jayanagar,"North Indian, Street Food",,
Pizza Stop,Basavanagudi,"Pizza, Italian",,
Biggies Burger 'n' More,Kumaraswamy Layout,"Cafe, Burger, Beverages",,
Kollapuri's,Basavanagudi,"South Indian, Mangalorean",,
Sugar Stars Co,Basavanagudi,"Bakery, Desserts",,
Bombay Kulfis,JP Nagar,Ice Cream,,
Kadamba Classic,Mysore Road,South Indian,,
RS Shiv Sagar,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",,
Kholi Mane,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",,
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",,
Cake Yard,Basavanagudi,Desserts,,
Sri Udupi Veg,Jayanagar,South Indian,,
Cake Art,Basavanagudi,Bakery,,
Aahar Cafe,Basavanagudi,South Indian,,
Akash Gowdru Biryani Center,Uttarahalli,"North Indian, Chinese",,
New Sri Udupi Restaurant,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food",,
Potato House,Uttarahalli,Street Food,,
Hotel Biriyani Counter,Vijay Nagar,"North Indian, Chinese, Biryani",,
Matru Sagar,Mysore Road,"South Indian, North Indian",,
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",,
Sri Krishna Sweets,Basavanagudi,"Mithai, Desserts",,
In Time Cane Juice,Kumaraswamy Layout,"Juices, Beverages",,
Subway,Banashankari,"Salad, Fast Food",,
Daal Roti,Kumaraswamy Layout,"North Indian, Chinese",,
The Lassi Park,Jayanagar,"Juices, Desserts",,
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",,
A2B - Adyar Ananda Bhavan,Mysore Road,"South Indian, North Indian, Chinese, Street Food",,
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",,
Green Gardenia,Banashankari,"North Indian, Chinese",,
J Spice,Banashankari,"North Indian, Chinese",,
Karavali Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",,
Karavali Lunch Home,Kumaraswamy Layout,"South Indian, Mangalorean",,
Hatti Kaapi,Jayanagar,"South Indian, Beverages",,
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",,
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",,
The Chaat Shop,Basavanagudi,Fast Food,,
Anda Ka Funda,Jayanagar,"North Indian, Chinese, Rolls",,
Shri Vinayaka Ice N Juice,Basavanagudi,"Beverages, Fast Food",,
Ibaco,Jayanagar,Desserts,,
Jalaram Sweets,Jayanagar,"Desserts, Mithai",,
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",,
Bendakaluru Bytes,Vijay Nagar,Fast Food,,
Cocoa Bakes,Banashankari,"Bakery, Desserts",,
Chumma Delicious,Banashankari,"South Indian, Fast Food",,
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",,
SSV Upahar,Jayanagar,"South Indian, Chinese",,
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",,
Gufha - The President Hotel,Jayanagar,"North Indian, Afghani, Mughlai",,
Tanna's Kitchen,Kumaraswamy Layout,"Italian, Chinese, Street Food",,
Shree Mandarathi Grand,Uttarahalli,"South Indian, North Indian",,
Mojo Pizza - 2X Toppings,Banashankari,Pizza,,
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",,
South Kitchen,Basavanagudi,South Indian,,
Chung Wah,Jayanagar,"Chinese, Thai, Momos",,
Shanthi Sagar,Uttarahalli,"South Indian, North Indian, Chinese",,
Millet Mama,Basavanagudi,"South Indian, Healthy Food",,
Bangarpet Chat Express,Basavanagudi,"Street Food, Fast Food",,
South Cool Point,Basavanagudi,Beverages,,
Prems Graama Bhojanam,Jayanagar,South Indian,,
Java City,Jayanagar,"Cafe, American, Pizza",,
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",,
Puliyogare Point,Basavanagudi,South Indian,,
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",,
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",,
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",,
De Thaali,Jayanagar,"North Indian, Chinese, Rolls",,
Just Thindi,Basavanagudi,South Indian,,
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",,
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",,
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",,
Desi Dawat,Kumaraswamy Layout,"North Indian, Fast Food",,
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",,
Donne Biriyani combos,Kumaraswamy Layout,Biryani,,
Mast Punjabi,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",,
South Grand,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",,
The Pizzeria,Banashankari,"Pizza, Italian, Salad",,
Cafe Zone,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",,
Ruchis Point,Banashankari,"Fast Food, Chinese",,
Firangi Bake,Rajarajeshwari Nagar,"Mexican, Italian",,
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",,
Hara Fine Dine,Banashankari,"North Indian, Chinese",,
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",,
Dakshin Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",,
Sandwichwallas,Jayanagar,Fast Food,,
Chai Mane,Basavanagudi,"Juices, Fast Food",,
SLV Upachar,Kumaraswamy Layout,"South Indian, Chinese, Street Food",,
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",,
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",,
Anand Donne Biriyani,Jayanagar,Biryani,,
Seven Star,Banashankari,"North Indian, Chinese",,
Stop 'N' Joy,Banashankari,Fast Food,,
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",,
Fudge,Basavanagudi,"Desserts, Momos",,
Just Bunny,Jayanagar,Fast Food,,
Bakers Town,Kumaraswamy Layout,"Cafe, Continental, Fast Food",,
Shree Mahalakshmi Sweets,Banashankari,"Mithai, Street Food",,
Kaapi Kendra,Jayanagar,South Indian,,
Ivy,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",,
The Airos,Jayanagar,"Cafe, Italian, Pizza",,
Chai Kraft,Jayanagar,"Beverages, Tea",,
South Point Pub,Basavanagudi,"North Indian, Seafood, Chinese",,
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",,
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",,
Sri Krishna Darshini,Basavanagudi,"South Indian, North Indian, Chinese",,
Shringar Sweets & Snacks,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",,
Udupi Grand,Basavanagudi,"South Indian, North Indian, Chinese",,
Ganesh Grand,Basavanagudi,"South Indian, North Indian, Desserts",,
Shreyas Upahar & Burger Point,Basavanagudi,"South Indian, Burger",,
Little Cafe,Basavanagudi,"Cafe, Beverages",,
Mumbai Badam Milk & Lassi Center,Basavanagudi,"Beverages, Desserts",,
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",,
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",,
1980s Games Cafe,Basavanagudi,"Cafe, Fast Food",,
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",,
Namma Biryani,Banashankari,"Biryani, Chinese, North Indian",,
Nandhanu's Rasoi,Kumaraswamy Layout,"Chinese, North Indian",,
Hotel Pork Paradise,Mysore Road,South Indian,,
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",,
J K Fish Land,Jayanagar,"Seafood, Mangalorean",,
Curry Leaves,Basavanagudi,"Andhra, North Indian, Chinese",,
Lassi Shop,Banashankari,"Beverages, Ice Cream, Fast Food",,
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",,
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",,
Drunken Monkey,Kumaraswamy Layout,"Beverages, Fast Food",,
Ruchi's Corner,Banashankari,Fast Food,,
Tandoori Bytes,Kumaraswamy Layout,North Indian,,
Bangalore Donne Biriyani,Kumaraswamy Layout,"South Indian, Biryani",,
SGS Non Veg - Gundu Pulav,Banashankari,"Biryani, Fast Food",,
Keventers,Banashankari,"Desserts, Beverages, Ice Cream",,
Sree Sagar,Banashankari,South Indian,,
Navi Food Point,Basavanagudi,Fast Food,,
Shawarma Inc,Banashankari,"Rolls, Lebanese",,
The Cafe Nuts and Bolts,Kumaraswamy Layout,"Cafe, Fast Food, Chinese",,
AM WOW,Jayanagar,Beverages,,
Lalbagh Grand,Basavanagudi,"South Indian, North Indian, Chinese",,
Funjabi Curries,Banashankari,North Indian,,
Eat Repeat,Basavanagudi,South Indian,,
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",,
Nammura Donne Biriyani,Basavanagudi,"Biryani, Fast Food",,
Lassi Stop,Banashankari,"Beverages, Fast Food, Juices",,
Dakshin Kitchen,Basavanagudi,South Indian,,
Sri Sai Cafe,Basavanagudi,South Indian,,
Sri Sai 99 Variety Dosa,Banashankari,South Indian,,
Utsav Restaurant,Banashankari,"North Indian, Chinese",,
Crunch and Munch,Uttarahalli,"Chinese, Street Food, Ice Cream",,
Food Geek,Basavanagudi,"Sandwich, Fast Food, Rolls",,
Sri Krishna Aramane,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Fast Food",,
Great Indian Rolls,Basavanagudi,Rolls,,
Chats Point,Basavanagudi,"Fast Food, Street Food",,
Food Point,Kumaraswamy Layout,"North Indian, Chinese",,
Swarga Ruchi,Basavanagudi,South Indian,,
Kolkata King,Basavanagudi,"Fast Food, Rolls",,
Sandwich Mama's And Frozen Monster,Jayanagar,"Ice Cream, Beverages, Fast Food",,
New Rajadhani Spicy,Kumaraswamy Layout,North Indian,,
Big Mishra Pedha,Jayanagar,Mithai,,
VEGeatz,Banashankari,"South Indian, North Indian",,
Foodizo,Banashankari,"Desserts, Fast Food, Continental",,
Food Springs,Jayanagar,"South Indian, Chinese",,
Chung's Chinese Corner,Jayanagar,Chinese,,
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,"Italian, Fast Food, Salad, BBQ",,
Goli Vada Pav No. 1,Basavanagudi,Street Food,,
Ragoo's,Jayanagar,"Italian, Pizza, North Indian, Salad",,
Pure & Natural,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",,
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices",,
Sip n Dine,Vijay Nagar,"North Indian, Chinese, South Indian",,
Cafe Mondo,Basavanagudi,"Cafe, Italian, Beverages",,
Jalpaan,Jayanagar,"North Indian, Continental",,
Kataria's Pakwan,Kumaraswamy Layout,North Indian,,
Juicy Momos,Banashankari,"Tibetan, Momos",,
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",,
Anand Sweets and Savouries,Jayanagar,"Mithai, Street Food",,
Chicken Hunt,Banashankari,"South Indian, North Indian, Chinese, Biryani",,
Swadesh Tadka,Banashankari,"North Indian, Chinese, Beverages",,
Cane-O-La,Basavanagudi,Juices,,
New Biryani Mane,Uttarahalli,"North Indian, Chinese, Biryani, South Indian",,
Upahara Darshini,Jayanagar,"South Indian, North Indian, Chinese",,
Karnataka Bhel House,Basavanagudi,Street Food,,
Sreeraj Lassi Bar,Jayanagar,Beverages,,
Juice Junction Food Court,Basavanagudi,"Juices, South Indian, Chinese, Fast Food",,
Bunt's Biriyani Palace,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",,
Chai Point,Jayanagar,"Tea, Beverages, Fast Food",,
Janahaar,Banashankari,South Indian,,
Utsav,Banashankari,"North Indian, Street Food",,
Meat And Eat,Banashankari,"Fast Food, Burger",,
Snacks Bite,Kumaraswamy Layout,"Fast Food, Momos",,
The Spice Saga,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",,
Dakshin Cafe,Kumaraswamy Layout,South Indian,,
Mr. Parathewala,Jayanagar,North Indian,,
Kaulige Millet Corner,Basavanagudi,"Healthy Food, South Indian",,
Ifruit Ice Cream,Kumaraswamy Layout,"Desserts, Ice Cream",,
Havmor,Basavanagudi,"Ice Cream, Desserts",,
Grand Food,Banashankari,"South Indian, Bakery, Chinese",,
Dining Hut,Kumaraswamy Layout,"North Indian, Chinese, South Indian",,
7 Hills Garden Restaurant,Banashankari,"North Indian, Mughlai, Chinese",,
Desi Swaad,Kumaraswamy Layout,North Indian,,
Yummy Momos,Kumaraswamy Layout,"Momos, Tibetan, Chinese",,
Masale Daan,Banashankari,North Indian,,
Sri Manjunatha Tandoori Corner,Uttarahalli,Mughlai,,
Grow Fit,JP Nagar,"Healthy Food, North Indian, Thai",,
The House Of Vadapav,Banashankari,,,
Cutcakes,Kumaraswamy Layout,Bakery,,
Lassi Spot,Kumaraswamy Layout,,,
Sandwich Hub,Jayanagar,"Fast Food, Sandwich",,
Healthy Bakes 'n' Brew,Jayanagar,Bakery,,
Udupi Sri Krishna Cafe,Jayanagar,"North Indian, South Indian",,
Starlite Bakery & Fastfood,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",,
Veganbreak24x7,City Market,"South Indian, Chinese, Continental, Biryani",,
Aadhya Hotel,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",,
Dodda Mane Baaduta,Banashankari,"North Indian, South Indian, Chinese, Biryani",,
Swadd Kitchen,Basavanagudi,"North Indian, Fast Food",,
